GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5,418.91,972.35,1174.85,134.68,59.57,-46.08,-625.0,-4261.31,264.19,5623.55,-5526.86,95.66,3715.71,-5431.2,-1715.5
6,399.68,1044.68,1181.99,140.29,68.46,-50.84,-619.72,-4277.12,257.61,5565.63,-5509.62,96.76,3710.67,-5412.86,-1702.18
7,390.71,976.3,1176.67,137.8,62.12,-49.14,-632.45,-4170.42,259.62,5603.44,-5611.22,96.1,3754.66,-5515.11,-1760.46
8,385.55,984.88,1173.59,137.83,76.74,-47.76,-609.14,-4173.84,262.72,5583.37,-5599.97,97.63,3773.94,-5502.34,-1728.4
9,400.85,1019.64,1161.24,154.76,61.1,-50.34,-628.02,-4292.98,266.56,5591.6,-5505.0,95.15,3684.42,-5409.85,-1725.43
10,362.11,1006.89,1179.25,142.67,59.89,-54.53,-641.07,-4193.55,263.32,5630.86,-5615.71,96.01,3755.84,-5519.7,-1763.86

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1009.17,1840.93,3605.72,736.09,56.12,0.0,-1599.06,29970.09,1736.52,-8796.8,-41477.55,156.82,28558.78,-41320.73,-12761.95
2,1041.05,1920.28,3592.4,763.08,65.43,0.0,-1631.08,30128.94,1708.67,-8745.21,-41639.1,157.5,28843.56,-41481.6,-12638.04
3,1022.06,1913.9,3597.59,739.29,58.78,0.0,-1580.39,30129.52,1731.49,-8662.25,-41732.09,157.77,28950.0,-41574.32,-12624.32
4,1006.03,1922.0,3590.02,760.74,58.83,0.0,-1604.68,30153.09,1705.11,-8650.44,-41726.43,157.75,28940.7,-41568.68,-12627.97
5,1007.99,1881.85,3586.88,712.11,60.63,0.0,-1572.14,30022.15,1737.62,-8584.72,-41644.21,158.06,28852.37,-41486.15,-12633.79
6,1017.34,1929.98,3578.95,728.26,59.49,0.0,-1597.65,30092.48,1754.71,-8631.59,-41661.69,156.77,28931.97,-41504.92,-12572.95
7,1004.16,1832.11,3602.57,743.93,69.23,0.0,-1602.13,29943.9,1753.52,-8631.09,-41513.51,157.96,28716.21,-41355.55,-12639.34
8,1041.37,1896.87,3550.85,776.09,52.95,0.0,-1597.73,29856.73,1728.58,-8670.64,-41463.25,158.06,28635.08,-41305.19,-12670.11
9,1062.18,1912.55,3591.28,737.85,54.1,0.0,-1589.64,29914.93,1707.38,-8659.85,-41472.4,156.73,28730.79,-41315.67,-12584.88
10,1020.98,1895.2,3610.06,748.07,65.93,0.0,-1611.5,29861.66,1767.2,-8663.98,-41413.75,157.33,28693.62,-41256.42,-12562.8

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,-0.0,0.0,0.0,0.0,0.0,-77.11,-13973.27,-0.0,0.0,14045.8,-9.44,-14050.38,14036.36,-14.02
2,-0.0,0.0,0.0,0.0,0.0,0.0,-70.64,-14019.87,-0.0,0.0,14086.51,-9.73,-14090.51,14076.78,-13.73
3,0.0,0.0,0.0,0.0,0.0,0.0,-67.88,-14050.16,0.0,0.0,14114.25,-8.4,-14118.04,14105.85,-12.19
4,0.0,0.0,-0.0,0.0,-0.0,0.0,-74.49,-14107.41,0.0,-0.0,14183.78,-9.97,-14181.9,14173.81,-8.09
5,0.0,0.0,0.0,0.0,0.0,0.0,-68.34,-14248.04,0.0,0.0,14309.48,-8.9,-14316.38,14300.58,-15.8
6,0.0,-0.0,0.0,0.0,0.0,0.0,-82.85,-14223.62,0.0,0.0,14304.32,-9.89,-14306.48,14294.43,-12.04
7,0.0,-0.0,0.0,0.0,0.0,0.0,-69.95,-14391.0,0.0,0.0,14449.84,-9.89,-14460.96,14439.94,-21.02
8,0.0,-0.0,-0.0,0.0,0.0,0.0,-66.45,-14251.09,-0.0,-0.0,14315.66,-9.23,-14317.54,14306.43,-11.11
9,-0.0,0.0,0.0,0.0,0.0,0.0,-72.56,-14271.2,0.0,0.0,14337.7,-9.03,-14343.76,14328.67,-15.09
10,-0.0,0.0,0.0,0.0,0.0,0.0,-84.62,-14322.4,0.0,0.0,14404.28,-10.25,-14407.02,14394.03,-12.99


