GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1425.91,2935.57,4956.16,898.12,114.45,-55.51,-2318.1,17334.91,2093.96,-3470.17,-39353.82,260.15,23915.29,-39093.67,-15178.38
2,1516.32,3020.28,4983.43,949.06,124.35,-50.16,-2354.12,17664.7,2082.19,-3421.82,-39743.49,261.71,24514.24,-39481.78,-14967.54
3,1496.79,3064.61,4972.97,928.01,132.25,-32.58,-2312.32,17669.31,2110.17,-3429.58,-39770.71,263.03,24599.62,-39507.68,-14908.06
4,1553.44,2982.2,4958.97,937.34,130.51,-49.21,-2329.9,17208.97,2081.18,-3346.5,-39322.02,262.4,24127.01,-39059.62,-14932.61
5,1471.75,3014.4,4949.53,929.96,115.58,-58.39,-2315.51,17246.55,2120.49,-3353.21,-39346.32,261.39,24121.14,-39084.93,-14963.79
6,1451.84,3018.63,4941.69,943.27,133.91,-54.53,-2316.19,16886.9,2111.01,-3407.09,-38970.13,260.96,23709.44,-38709.17,-14999.73
7,1512.81,3044.91,4950.33,942.2,134.35,-48.3,-2311.0,17094.16,2098.59,-3411.04,-39160.16,261.68,24007.01,-38898.48,-14891.48
8,1476.71,3109.66,4925.92,939.73,131.38,-37.89,-2323.1,16946.8,2108.56,-3313.74,-39053.29,260.48,23964.05,-38792.81,-14828.76
9,1489.08,3019.72,4942.33,929.97,134.48,-49.42,-2324.58,16912.32,2077.41,-3379.5,-38980.11,261.23,23751.82,-38718.88,-14967.06
10,1465.52,3071.58,4960.04,943.28,126.1,-55.49,-2309.87,16493.31,2124.47,-3347.16,-38620.01,261.41,23471.78,-38358.6,-14886.82

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,358.74,1030.06,1161.49,136.43,62.41,-55.51,-620.72,-4020.44,256.54,5571.95,-5732.79,97.14,3880.93,-5635.66,-1754.72
2,421.3,1014.86,1161.13,148.73,57.41,-50.16,-627.72,-4022.34,251.85,5544.68,-5721.26,97.31,3899.74,-5623.95,-1724.21
3,382.98,1047.99,1173.07,139.68,69.76,-32.58,-590.17,-4031.19,259.77,5587.13,-5765.32,98.28,4006.44,-5667.04,-1660.6
4,402.83,998.73,1153.93,140.17,64.58,-49.21,-613.47,-4164.85,253.84,5617.12,-5642.32,98.26,3803.66,-5544.05,-1740.4
5,389.37,1026.45,1167.42,143.65,59.03,-58.39,-596.17,-4012.62,269.92,5588.63,-5767.06,96.35,3977.28,-5670.7,-1693.42
6,409.96,993.08,1177.75,150.45,70.48,-54.53,-611.6,-4113.95,276.84,5575.65,-5652.16,95.92,3874.13,-5556.24,-1682.11
7,397.64,1045.54,1163.05,142.74,65.16,-48.3,-614.36,-4008.45,263.41,5593.59,-5761.28,96.85,4000.0,-5664.43,-1664.43
8,393.79,1027.15,1146.29,141.18,69.79,-37.89,-612.94,-4050.11,277.5,5605.74,-5729.48,95.52,3960.5,-5633.96,-1673.47
9,376.81,1004.79,1159.68,144.63,67.13,-49.42,-620.82,-4015.88,271.29,5611.12,-5750.92,96.31,3949.34,-5654.61,-1705.27
10,383.23,1039.22,1171.73,143.63,57.48,-55.49,-620.22,-4052.32,269.1,5568.19,-5711.54,96.08,3904.55,-5615.46,-1710.91

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1067.17,1905.52,3794.67,761.7,52.04,0.0,-1668.08,37856.92,1837.41,-9042.12,-50153.75,166.47,36565.22,-49987.29,-13422.07
2,1095.02,2005.41,3822.3,800.34,66.94,0.0,-1701.17,37991.79,1830.34,-8966.5,-50357.08,167.38,36944.47,-50189.7,-13245.23
3,1113.82,2016.62,3799.9,788.33,62.48,0.0,-1700.02,38000.65,1850.4,-9016.71,-50328.2,167.03,36915.47,-50161.17,-13245.7
4,1150.61,1983.48,3805.03,797.17,65.94,0.0,-1691.91,37587.94,1827.34,-8963.61,-49917.89,166.97,36561.99,-49750.92,-13188.94
5,1082.38,1987.95,3782.11,786.31,56.55,0.0,-1695.21,37459.33,1850.57,-8941.84,-49807.67,167.56,36368.15,-49640.11,-13271.97
6,1041.89,2025.56,3763.94,792.82,63.42,0.0,-1680.71,37322.04,1834.17,-8982.74,-49664.56,167.42,36180.38,-49497.14,-13316.76
7,1115.16,1999.36,3787.28,799.46,69.19,0.0,-1676.98,37289.12,1835.18,-9004.63,-49606.61,167.03,36213.16,-49439.58,-13226.41
8,1082.91,2082.51,3779.64,798.56,61.6,0.0,-1687.64,37322.1,1831.06,-8919.48,-49674.06,167.56,36351.26,-49506.5,-13155.25
9,1112.27,2014.93,3782.65,785.34,67.36,0.0,-1681.57,37172.75,1806.12,-8990.62,-49493.76,167.88,36069.23,-49325.88,-13256.65
10,1082.29,2032.36,3788.31,799.65,68.62,0.0,-1668.19,36695.72,1855.36,-8915.34,-49080.94,167.72,35738.79,-48913.22,-13174.43

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,0.0,0.0,-0.0,0.0,0.0,-29.3,-16501.56,0.0,0.0,16532.73,-3.46,-16530.86,16529.27,-1.59
2,-0.0,-0.0,0.0,0.0,0.0,0.0,-25.23,-16304.74,0.0,0.0,16334.84,-2.98,-16329.97,16331.87,1.9
3,-0.0,0.0,-0.0,0.0,0.0,0.0,-22.14,-16300.15,0.0,-0.0,16322.81,-2.27,-16322.29,16320.53,-1.76
4,0.0,0.0,0.0,0.0,0.0,0.0,-24.52,-16214.11,0.0,0.0,16238.19,-2.83,-16238.64,16235.36,-3.28
5,0.0,0.0,0.0,0.0,0.0,0.0,-24.13,-16200.16,-0.0,0.0,16228.4,-2.52,-16224.28,16225.88,1.6
6,-0.0,0.0,-0.0,0.0,-0.0,0.0,-23.88,-16321.19,0.0,0.0,16346.59,-2.38,-16345.07,16344.21,-0.86
7,0.0,0.0,0.0,-0.0,-0.0,0.0,-19.66,-16186.5,0.0,0.0,16207.72,-2.2,-16206.16,16205.52,-0.64
8,-0.0,0.0,-0.0,0.0,0.0,0.0,-22.52,-16325.19,-0.0,0.0,16350.25,-2.6,-16347.71,16347.65,-0.05
9,0.0,0.0,0.0,0.0,0.0,0.0,-22.19,-16244.55,0.0,0.0,16264.56,-2.96,-16266.74,16261.6,-5.14
10,-0.0,0.0,0.0,0.0,0.0,0.0,-21.47,-16150.09,0.0,0.0,16172.47,-2.39,-16171.56,16170.08,-1.48


